epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.977,0.51158,1.37686,1.17852,0.9098,0.96832,0.98037,0.45194,1.80433,2.47158,1.36413,0.000656085,0.000656085,0.000656085
2,567.99,0.28945,0.69268,1.00319,0.87791,0.99232,0.89754,0.55657,1.03787,1.92085,1.37121,0.0012791,0.0012791,0.0012791
3,840.46,0.26678,0.57228,0.98651,0.47228,0.98803,0.49101,0.33171,0.76003,3.40856,0.97049,0.00185812,0.00185812,0.00185812
4,1148.85,0.26766,0.49008,0.96649,0.99988,1,0.995,0.995,0.30047,0.80308,0.44933,0.001802,0.001802,0.001802
5,1512.32,0.24355,0.42818,0.98309,0.99978,1,0.995,0.99074,0.34778,0.71998,0.4835,0.001736,0.001736,0.001736
6,1856.04,0.22755,0.39802,0.95905,0.99924,0.998,0.995,0.99499,0.32541,0.62313,0.4641,0.00167,0.00167,0.00167
7,2182.35,0.20528,0.34848,0.94084,0.98156,1,0.99464,0.97638,0.24865,0.52148,0.38676,0.001604,0.001604,0.001604
8,2523.1,0.18407,0.31808,0.93307,0.99955,1,0.995,0.99298,0.28038,0.50753,0.4419,0.001538,0.001538,0.001538
9,2862.81,0.17388,0.29644,0.93294,0.99817,1,0.995,0.99499,0.18795,0.56228,0.2998,0.001472,0.001472,0.001472
10,3216.19,0.16669,0.26999,0.93199,0.99989,1,0.995,0.995,0.28953,0.4572,0.42919,0.001406,0.001406,0.001406
11,3512.37,0.16254,0.26004,0.92627,0.99983,1,0.995,0.995,0.19265,0.35527,0.27857,0.00134,0.00134,0.00134
12,3809.49,0.14651,0.23375,0.92674,0.9999,1,0.995,0.995,0.22252,0.39546,0.32313,0.001274,0.001274,0.001274
13,4116.94,0.13639,0.2246,0.91578,0.99989,1,0.995,0.995,0.2664,0.39428,0.38373,0.001208,0.001208,0.001208
14,4416.67,0.13093,0.22191,0.91076,0.9999,1,0.995,0.995,0.20639,0.36736,0.29767,0.001142,0.001142,0.001142
15,4712.91,0.12732,0.20487,0.90856,0.99989,1,0.995,0.995,0.2332,0.44245,0.33552,0.001076,0.001076,0.001076
16,5016.87,0.12064,0.19491,0.91101,0.9999,1,0.995,0.995,0.22885,0.35147,0.33749,0.00101,0.00101,0.00101
17,5316.97,0.12021,0.19541,0.91424,0.99987,1,0.995,0.995,0.22227,0.32872,0.31478,0.000944,0.000944,0.000944
18,5613.17,0.11792,0.20159,0.9066,0.9999,1,0.995,0.995,0.20966,0.28765,0.30973,0.000878,0.000878,0.000878
19,5892.69,0.11307,0.18861,0.90217,0.9999,1,0.995,0.995,0.26059,0.39135,0.36569,0.000812,0.000812,0.000812
20,6165.82,0.11064,0.16942,0.90461,0.9999,1,0.995,0.995,0.18891,0.31063,0.31898,0.000746,0.000746,0.000746
21,8584.17,0.08946,0.2841,0.92068,0.9999,1,0.995,0.94792,0.29039,0.7229,0.40664,0.00068,0.00068,0.00068
22,8857.83,0.08351,0.16332,0.92095,0.9999,1,0.995,0.995,0.176,0.34084,0.24481,0.000614,0.000614,0.000614
23,9129.27,0.07688,0.14367,0.92228,0.9999,1,0.995,0.995,0.16255,0.29084,0.23769,0.000548,0.000548,0.000548
24,9399.62,0.06648,0.11741,0.92097,0.9999,1,0.995,0.995,0.15413,0.29072,0.22924,0.000482,0.000482,0.000482
25,9665.29,0.06298,0.11362,0.91194,0.9999,1,0.995,0.995,0.19765,0.35001,0.28039,0.000416,0.000416,0.000416
26,9929.92,0.05021,0.09251,0.92392,0.9999,1,0.995,0.995,0.19282,0.35154,0.28355,0.00035,0.00035,0.00035
27,10424.2,0.0499,0.09569,0.91125,0.9999,1,0.995,0.995,0.14755,0.30378,0.22634,0.000284,0.000284,0.000284
28,10695.9,0.04168,0.08333,0.91946,0.9999,1,0.995,0.995,0.21072,0.34289,0.30062,0.000218,0.000218,0.000218
29,10959,0.04006,0.08288,0.89744,0.9999,1,0.995,0.995,0.1889,0.3201,0.27286,0.000152,0.000152,0.000152
30,11222.5,0.03521,0.07698,0.91401,0.9999,1,0.995,0.995,0.17259,0.31407,0.25056,8.6e-05,8.6e-05,8.6e-05
